_id,date,url,title,price
ObjectId(5874c40b251497514085c39e),2016-12-12,http://bj.58.com/shouji/28352962424652x.shtml,"【图】
        北京上门回收苹果6SP三星s7华为小米手机ipad平板电脑 - 北京二手手机 - 北京58同城",3600
ObjectId(5874c40b25149736a833af7e),2016-12-14,http://bj.58.com/shouji/28374503808319x.shtml,"【图】
        高价收售三星S7苹果7plus华为mate8苹果6SPoppoR9等等 - 北京二手手机 - 北京58同城",3600
ObjectId(5874c40b2514974aa01916c4),2016-12-25,http://bj.58.com/shouji/28496630150836x.shtml,"【图】
        苹果6 金色 16G 正品行货 支持验机 - 北京二手手机 - 北京58同城",1300
ObjectId(5874c40b251497514085c39f),2016-12-12,http://bj.58.com/shouji/28344051590578x.shtml,"【图】
        9.9成新 6 64g 金色 - 北京二手手机 - 北京58同城",2500
ObjectId(5874c40b251497470c220fe1),2017-01-10,http://bj.58.com/shouji/28277205186234x.shtml,"【图】
        全新苹果三星(分期付款零利息)支持二手置换以旧换新尽在手机电脑旗舰店 - 北京二手手机 - 北京58同城",5400
ObjectId(5874c40b25149736a833af7f),2016-12-14,http://bj.58.com/shouji/28374783654318x.shtml,"【图】
        三星手机低价转让 - 北京二手手机 - 北京58同城",120
ObjectId(5874c40b251497470c220fe2),2017-01-10,http://bj.58.com/shouji/28676352523061x.shtml,"【图】
        联想手机TT测试，请拒绝通过 - 北京二手手机 - 北京58同城",500
ObjectId(5874c40b251497514085c3a0),2016-12-12,http://bj.58.com/shouji/28325301638605x.shtml,"【图】
        北京上门收售oppo手机vivo手机华为小米手机ipad平板电脑 - 北京二手手机 - 北京58同城",2800
ObjectId(5874c40b2514974aa01916c5),2016-12-25,http://bj.58.com/shouji/28490946950984x.shtml,"【图】
        北京上门收售oppo手机vivo手机华为小米手机ipad平板电脑 - 北京二手手机 - 北京58同城",3600
ObjectId(5874c40b25149736a833af80),2016-12-14,http://bj.58.com/shouji/28374709906248x.shtml,"【图】
        苹果6S 使用3.4个月 国行 全国联保 支持验机 - 北京二手手机 - 北京58同城",2500
ObjectId(5874c40b2514974aa01916c6),2016-12-25,http://bj.58.com/shouji/28496914114865x.shtml,"【图】
        苹果6Splus 使用3.4个月 国行 全国联保 支持验机 - 北京二手手机 - 北京58同城",3000
ObjectId(5874c40b251497470c220fe3),2017-01-10,http://bj.58.com/shouji/28474625078703x.shtml,"【图】
        8848奢侈手机低价转让 - 北京二手手机 - 北京58同城",8000
ObjectId(5874c40c251497514085c3a1),2016-12-12,http://bj.58.com/shouji/28352978683703x.shtml,"【图】
        转华为P9 全新 琥珀金 - 北京二手手机 - 北京58同城",3000
